Retailer,Region,State,City,Product,Price per Unit,Units Sold,Total Revenue,Operating Profit,Sales Method
Foot Locker,Northeast,New York,New York,Men's Street Footwear,33,372,12276,663,Outlet
Foot Locker,Northeast,New York,New York,Men's Street Footwear,44,366,16104,837,Outlet
Walmart,Northeast,New York,New York,Men's Street Footwear,56,360,20160,1250,Online
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,37,359,13283,452,Outlet
Walmart,Northeast,New York,New York,Women's Apparel,48,355,17040,511,Outlet
Foot Locker,Northeast,New York,New York,Men's Street Footwear,46,354,16284,1026,Online
Foot Locker,Northeast,New York,New York,Women's Apparel,47,352,16544,447,Outlet
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,8750,3063,In-store
Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,8750,3500,In-store
Foot Locker,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store
Foot Locker,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,25,350,8750,3063,In-store
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,10,350,3500,1225,In-store
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,3500,Online
Walmart,South,Mississippi,Jackson,Women's Athletic Footwear,25,350,8750,3500,Online
Sports Direct,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,8750,3063,Online
Walmart,South,Arkansas,Little Rock,Women's Street Footwear,10,350,3500,1400,Online
Walmart,South,Arkansas,Little Rock,Women's Apparel,25,350,8750,3500,Online
Walmart,South,Arkansas,Little Rock,Women's Street Footwear,15,350,5250,2100,Online
West Gear,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,7000,2800,Online
West Gear,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20,350,7000,2450,Online
Kohl's,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25,350,8750,3063,Online
Kohl's,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,,,1838,Online
Kohl's,South,Oklahoma,Oklahoma City,Women's Apparel,25,,,3063,Online
West Gear,Northeast,West Virginia,Charleston,Women's Apparel,25,350,8750,3500,In-store
Foot Locker,Northeast,New York,New York,Women's Street Footwear,32,350,11200,414,Outlet
Foot Locker,Northeast,New York,New York,Women's Apparel,36,350,12600,365,Outlet
Walmart,Northeast,New York,New York,Men's Athletic Footwear,43,350,15050,497,Outlet
Walmart,Northeast,New York,New York,Women's Apparel,45,350,15750,473,Outlet
Walmart,South,Texas,Houston,Women's Apparel,38,350,13300,758,Outlet
Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,26,,9074,426,Outlet
Foot Locker,Northeast,New York,New York,Women's Apparel,46,,15962,1511,Outlet
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,20,345,6900,1415,In-store
West Gear,West,California,San Francisco,Men's Street Footwear,41,341,13981,1601,Outlet
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,41,340,,1474,Outlet
Walmart,Northeast,New York,New York,Women's Apparel,,340,,1490,Outlet
West Gear,West,California,San Francisco,Men's Street Footwear,,338,13858,1527,Outlet
Foot Locker,Northeast,New York,New York,Men's Street Footwear,,336,15792,1963,Online
Foot Locker,Northeast,New York,New York,Women's Apparel,39,333,12987,1351,Outlet
Walmart,Northeast,New York,New York,Women's Street Footwear,42,333,13986,1559,Outlet
Walmart,South,Texas,Houston,Men's Street Footwear,32,333,10656,926,Outlet
Walmart,South,Texas,Houston,Men's Athletic Footwear,34,333,11322,976,Outlet
West Gear,West,California,San Francisco,Men's Athletic Footwear,46,332,15272,1321,Outlet
Sports Direct,South,Texas,Dallas,Women's Street Footwear,35,332,11620,1546,Outlet
Foot Locker,Northeast,New York,New York,Women's Apparel,38,330,12540,1401,Outlet
Walmart,Northeast,New York,New York,Women's Apparel,50,330,16500,1462,Outlet
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,62,326,20212,1152,Online
Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store
Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store
West Gear,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,6500,2600,In-store
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,25,325,8125,2844,In-store
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,15,325,4875,1706,In-store
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,10,325,3250,1300,In-store
West Gear,West,Utah,Salt Lake City,Men's Apparel,20,325,6500,2275,In-store
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,8125,3250,Online
Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,25,325,8125,3250,Online
Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,20,325,6500,2275,Online
Walmart,South,Arkansas,Little Rock,Women's Athletic Footwear,15,325,4875,1950,Online
Walmart,South,Arkansas,Little Rock,Men's Apparel,25,325,8125,2844,Online
West Gear,South,Arkansas,Little Rock,Women's Street Footwear,15,325,4875,1950,Online
Kohl's,Midwest,Kansas,Wichita,Women's Apparel,20,325,6500,2275,Online
Kohl's,Midwest,Kansas,Wichita,Men's Athletic Footwear,20,325,6500,2275,Online
West Gear,Northeast,West Virginia,Charleston,Women's Street Footwear,20,325,6500,2600,In-store
Foot Locker,Northeast,New York,New York,Men's Street Footwear,58,325,1885,1150,Online
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,40,324,1296,518,Outlet
Sports Direct,Southeast,Florida,Miami,Men's Street Footwear,63,323,2035,1140,Online
Foot Locker,Northeast,New York,New York,Women's Street Footwear,32,323,1034,393,Outlet
Foot Locker,Northeast,New York,New York,Women's Apparel,36,323,1163,314,Outlet
Walmart,South,Texas,Houston,Men's Athletic Footwear,33,323,1066,448,Outlet
Walmart,Northeast,New York,New York,Women's Apparel,53,322,1707,478,Outlet
West Gear,West,California,San Francisco,Men's Street Footwear,40,322,1288,425,Outlet
Sports Direct,South,Texas,Dallas,Women's Street Footwear,33,322,1063,446,Outlet
Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,30,322,966,483,Outlet
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,31,322,998,559,Outlet
West Gear,South,Arkansas,Little Rock,Women's Street Footwear,25,320,8000,3200,Online
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,36,320,1152,403,Outlet
Foot Locker,Northeast,New York,New York,Women's Apparel,44,320,1408,408,Outlet
Foot Locker,Northeast,New York,New York,Men's Street Footwear,59,319,1882,1129,Online
Walmart,South,Texas,Houston,Women's Street Footwear,37,,,531,Online
Foot Locker,Southeast,Florida,Miami,Men's Street Footwear,43,,,782,Online
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,41,318,1304,482,Outlet
Foot Locker,Northeast,New York,New York,Men's Street Footwear,54,317,1712,1096,Online
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,39,315,1229,405,Outlet
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,397,Outlet
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,364,Outlet
Foot Locker,Northeast,New York,New York,Women's Street Footwear,28,315,882,335,Outlet
Walmart,Northeast,New York,New York,Women's Street Footwear,,,1134,442,Outlet
Walmart,Northeast,New York,New York,Men's Apparel,,,1386,513,Outlet
Walmart,South,Texas,Houston,Men's Street Footwear,24,315,756,295,Outlet
Walmart,South,Texas,Houston,Women's Street Footwear,36,315,1134,431,Outlet
Kohl's,West,California,Los Angeles,Men's Street Footwear,39,315,1229,565,Outlet
Foot Locker,Northeast,New York,New York,Women's Street Footwear,27,314,848,348,Outlet
Foot Locker,Northeast,New York,New York,Women's Street Footwear,37,314,1162,430,Outlet
Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,39,314,1225,576,Outlet
Foot Locker,Northeast,New York,New York,Men's Street Footwear,46,313,1440,893,Online
Foot Locker,Northeast,New York,New York,Men's Street Footwear,55,313,1722,1050,Online
Walmart,Northeast,New York,New York,Men's Street Footwear,62,312,1934,1238,Online
Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,38,312,1186,700,Online
Walmart,Northeast,New York,New York,Men's Athletic Footwear,40,312,1248,449,Outlet
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,63,311,,1156,Online
Walmart,Northeast,New York,New York,Men's Athletic Footwear,43,310,,467,Outlet
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,53,308,1632,669,Online
Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,61,308,1879,996,Online
Foot Locker,Northeast,New York,New York,Men's Apparel,43,,1316,487,Outlet
Foot Locker,Northeast,New York,New York,Men's Apparel,43,,1316,461,Outlet
Walmart,Northeast,New York,New York,Women's Athletic Footwear,34,306,1040,406,Outlet
Walmart,Northeast,New York,New York,Women's Athletic Footwear,41,306,1255,502,Outlet
Sports Direct,South,Texas,Houston,Men's Street Footwear,,306,612,257,Outlet
Sports Direct,South,Texas,Houston,Men's Street Footwear,,306,704,260,Outlet
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,29,306,887,364,Outlet
Walmart,South,Texas,Houston,Men's Athletic Footwear,31,306,949,379,Outlet
Walmart,South,Texas,Houston,Women's Apparel,41,306,1255,690,Outlet
West Gear,West,California,San Francisco,Women's Apparel,60,306,1836,477,Outlet
West Gear,West,California,San Francisco,Men's Athletic Footwear,46,306,1408,282,Outlet
Kohl's,West,California,Los Angeles,Men's Street Footwear,36,306,1102,496,Outlet
Sports Direct,South,Tennessee,Knoxville,Women's Apparel,37,306,1132,668,Outlet
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,62,306,1897,816,Outlet
Foot Locker,Northeast,New York,New York,Women's Apparel,64,305,1952,761,Online
Walmart,South,Texas,Houston,Men's Street Footwear,27,305,824,305,Outlet
Walmart,South,Texas,Houston,Men's Athletic Footwear,33,305,1007,382,Outlet
Foot Locker,West,Idaho,Boise,Women's Street Footwear,39,305,1190,511,Outlet
West Gear,Southeast,Florida,Miami,Men's Street Footwear,60,304,1824,1040,Online
Walmart,South,Texas,Houston,Women's Apparel,36,,,565,Outlet
West Gear,West,California,San Francisco,Men's Street Footwear,45,,,544,Outlet
Sports Direct,South,Tennessee,Knoxville,Men's Apparel,30,300,9000,3150,Outlet
Sports Direct,South,Alabama,Birmingham,Men's Apparel,30,300,9000,4050,Outlet
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,30,300,9000,3150,In-store
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,4500,1575,In-store
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,6000,2400,In-store
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,,,6000,2100,In-store
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,,,9000,3600,Online
Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online
Sports Direct,South,Mississippi,Jackson,Women's Athletic Footwear,,,6000,2400,Online
Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,25,300,7500,2625,Online
Walmart,South,Arkansas,Little Rock,Women's Street Footwear,15,300,4500,1800,Online
Walmart,South,Arkansas,Little Rock,Women's Street Footwear,20,300,6000,2400,Online
Kohl's,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15,300,,1575,Online
Kohl's,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,300,4500,1575,Online
Kohl's,Midwest,Kansas,Wichita,Women's Apparel,30,,,3150,Online
Foot Locker,Midwest,Kansas,Wichita,Women's Apparel,30,,,3150,Online
West Gear,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30,300,9000,3150,In-store
West Gear,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25,300,7500,2625,In-store
West Gear,Midwest,Indiana,Indianapolis,Women's Apparel,20,300,6000,2400,In-store
West Gear,Midwest,Indiana,Indianapolis,Women's Street Footwear,25,300,7500,3000,In-store
West Gear,Midwest,Indiana,Indianapolis,Women's Street Footwear,30,300,9000,3600,In-store
Sports Direct,Northeast,New Jersey,Newark,Women's Street Footwear,30,,,2700,In-store
Foot Locker,Northeast,New York,New York,Men's Street Footwear,45,300,1350,837,Online
Walmart,Northeast,New York,New York,Men's Athletic Footwear,51,300,1530,643,Online
West Gear,Southeast,Florida,Miami,Men's Street Footwear,52,300,1560,874,Online
Walmart,Northeast,New York,New York,Men's Street Footwear,60,299,1794,1076,Online
West Gear,Southeast,Florida,Miami,Men's Street Footwear,60,299,,1076,Online
Walmart,South,Texas,Houston,Women's Apparel,42,298,,713,Outlet
Walmart,South,Texas,Houston,Women's Street Footwear,38,298,1132,430,Outlet
West Gear,West,Oregon,Portland,Men's Street Footwear,60,298,1788,751,Outlet
Walmart,South,Texas,Houston,Women's Street Footwear,39,297,1158,533,Online
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,38,297,1129,429,Outlet
Kohl's,West,California,Los Angeles,Men's Street Footwear,36,297,1069,470,Outlet
Walmart,Southeast,Florida,Orlando,Men's Street Footwear,68,297,2020,747,Outlet
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,37,296,1095,383,Outlet
Foot Locker,Northeast,New York,New York,Women's Street Footwear,37,296,1095,449,Outlet
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,25,295,7375,2581,In-store
Foot Locker,Northeast,New York,New York,Women's Street Footwear,35,295,1033,434,Outlet
Walmart,South,Texas,Houston,Women's Apparel,32,295,944,538,Outlet
Walmart,South,Texas,Houston,Men's Street Footwear,28,295,826,339,Outlet
Walmart,South,Texas,Houston,Men's Street Footwear,29,295,856,342,Outlet
Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,60,294,1764,882,Online
Walmart,Northeast,New York,New York,Women's Street Footwear,43,294,1264,531,Outlet
Walmart,South,Texas,Houston,Women's Apparel,47,293,1377,868,Online
West Gear,West,California,San Francisco,Men's Street Footwear,51,293,1494,598,Online
Foot Locker,Northeast,New York,New York,Women's Apparel,48,290,1392,529,Online
Foot Locker,Northeast,New York,New York,Women's Apparel,59,290,1711,616,Online
Walmart,Northeast,New York,New York,Women's Apparel,62,290,1798,665,Online
Walmart,Northeast,New York,New York,Women's Apparel,68,290,1972,749,Online
Walmart,Northeast,New York,New York,Women's Apparel,68,290,1972,690,Online
West Gear,Southeast,Florida,Miami,Men's Street Footwear,55,290,1595,941,Online
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,67,290,1943,1166,Online
Foot Locker,Northeast,New York,New York,Men's Apparel,43,289,1243,398,Outlet
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,31,289,896,331,Outlet
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,33,289,954,381,Outlet
Walmart,Northeast,New York,New York,Men's Apparel,51,289,1474,472,Outlet
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,23,289,665,279,Outlet
Walmart,South,Texas,Houston,Women's Apparel,44,289,1272,725,Outlet
West Gear,West,California,San Francisco,Men's Street Footwear,28,289,809,340,Outlet
West Gear,West,California,San Francisco,Men's Street Footwear,36,289,1040,343,Outlet
Kohl's,West,California,Los Angeles,Men's Street Footwear,38,289,1098,505,Outlet
Foot Locker,South,Mississippi,Jackson,Men's Street Footwear,47,289,1358,625,Outlet
Foot Locker,Northeast,New York,New York,Women's Street Footwear,36,288,1037,435,Outlet
Foot Locker,Northeast,New York,New York,Men's Apparel,45,288,1296,441,Outlet
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,42,288,1210,339,Outlet
West Gear,Southeast,Florida,Orlando,Men's Street Footwear,36,288,1037,487,Outlet
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,51,287,1464,849,Online
Walmart,South,Texas,Houston,Men's Athletic Footwear,30,287,861,362,Outlet
West Gear,West,California,San Francisco,Men's Street Footwear,40,287,1148,402,Outlet
West Gear,West,California,San Francisco,Men's Athletic Footwear,42,287,1205,205,Outlet
Foot Locker,Northeast,New York,New York,Women's Apparel,61,286,1745,698,Online
Walmart,Northeast,New York,New York,Women's Street Footwear,54,285,1539,723,Online
Walmart,South,Texas,Houston,Men's Athletic Footwear,44,285,1254,602,Online
Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,46,285,1311,787,Online
Walmart,South,Texas,Houston,Men's Athletic Footwear,32,285,912,383,Outlet
Kohl's,West,California,Los Angeles,Men's Street Footwear,30,285,855,402,Outlet
Foot Locker,Southeast,Florida,Miami,Men's Street Footwear,53,284,1505,828,Online
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,33,283,934,532,Online
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,48,282,1354,744,Online
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,36,281,1012,374,Outlet
Foot Locker,Northeast,New York,New York,Men's Apparel,44,281,1236,445,Outlet
Walmart,South,Texas,Houston,Women's Street Footwear,34,281,955,373,Outlet
West Gear,West,California,San Francisco,Women's Street Footwear,42,281,1180,531,Outlet
Sports Direct,South,Texas,Dallas,Men's Street Footwear,46,281,1293,608,Outlet
Foot Locker,Southeast,Georgia,Atlanta,Women's Apparel,30,281,843,447,Outlet
Walmart,Northeast,New York,New York,Women's Apparel,59,280,1652,661,Online
Foot Locker,Northeast,New York,New York,Men's Apparel,47,280,1316,461,Outlet
Walmart,Northeast,New York,New York,Men's Apparel,47,280,1316,474,Outlet
West Gear,West,California,San Francisco,Men's Athletic Footwear,39,280,1092,197,Outlet
Sports Direct,South,Texas,Dallas,Men's Athletic Footwear,40,280,1120,459,Outlet
Sports Direct,South,Texas,Dallas,Women's Apparel,42,280,1176,647,Outlet
Sports Direct,South,Alabama,Birmingham,Women's Apparel,36,280,1008,645,Outlet
Sports Direct,South,Alabama,Birmingham,Women's Apparel,47,280,1316,921,Outlet
Walmart,Southeast,Florida,Orlando,Men's Street Footwear,58,280,1624,585,Outlet
Walmart,Northeast,New York,New York,Men's Apparel,43,279,1200,396,Outlet
Walmart,Northeast,New York,New York,Men's Apparel,48,279,1339,496,Outlet
Foot Locker,Northeast,New York,New York,Women's Street Footwear,46,278,1279,614,Online
Foot Locker,Southeast,Florida,Miami,Women's Apparel,56,278,1557,950,Online
Foot Locker,Southeast,South Carolina,Charleston,Women's Apparel,58,278,1612,984,Online
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,50,278,1390,792,Online
Foot Locker,Northeast,New York,New York,Men's Apparel,46,278,1279,435,Outlet
West Gear,West,California,San Francisco,Men's Athletic Footwear,47,278,1307,287,Outlet
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,36,278,1001,530,Outlet
West Gear,West,Idaho,Boise,Women's Street Footwear,34,278,945,397,Outlet
West Gear,West,California,San Francisco,Men's Street Footwear,56,277,1551,698,Online
Foot Locker,Northeast,New York,New York,Women's Street Footwear,36,276,994,467,Online
Walmart,South,Texas,Houston,Women's Apparel,37,276,1021,643,Online
Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,28,276,773,417,Online
Sports Direct,South,Alabama,Birmingham,Men's Apparel,25,275,6875,2750,Outlet
Foot Locker,Midwest,Michigan,Detroit,Women's Athletic Footwear,25,275,6875,2750,In-store
Foot Locker,Midwest,Missouri,St. Louis,Men's Athletic Footwear,30,275,8250,2888,In-store
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,20,275,5500,1925,In-store
Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,15,275,4125,1650,In-store
Foot Locker,Midwest,Missouri,St. Louis,Men's Apparel,25,275,6875,2406,In-store
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,25,275,6875,2750,In-store
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,275,5500,2200,In-store
West Gear,West,Utah,Salt Lake City,Men's Apparel,30,275,8250,2888,In-store
Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,20,275,5500,2200,Online
Walmart,South,Arkansas,Little Rock,Women's Athletic Footwear,20,275,5500,2200,Online
Walmart,South,Arkansas,Little Rock,Men's Apparel,30,275,8250,2888,Online
West Gear,South,Arkansas,Little Rock,Men's Athletic Footwear,25,275,6875,2406,Online
West Gear,South,Oklahoma,Oklahoma City,Women's Street Footwear,10,275,2750,1100,Online
West Gear,South,Oklahoma,Oklahoma City,Women's Apparel,25,275,6875,2750,Online
West Gear,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,275,4125,1650,Online
Foot Locker,Midwest,Kansas,Wichita,Men's Athletic Footwear,15,275,4125,1444,Online
Foot Locker,Midwest,Kansas,Wichita,Women's Street Footwear,30,275,8250,2475,Online
Sports Direct,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,25,275,6875,2063,Online
Sports Direct,Midwest,North Dakota,Fargo,Women's Apparel,25,275,6875,2750,Online
Foot Locker,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,8250,2888,In-store
Foot Locker,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,8250,2888,In-store
West Gear,Midwest,Indiana,Indianapolis,Women's Street Footwear,15,275,4125,1444,In-store
West Gear,Midwest,Indiana,Indianapolis,Women's Apparel,25,275,6875,2750,In-store
West Gear,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,30,275,8250,3300,In-store
West Gear,Northeast,West Virginia,Charleston,Men's Athletic Footwear,30,275,8250,3300,In-store
Foot Locker,Northeast,Maryland,Baltimore,Women's Street Footwear,30,275,8250,3300,In-store
Foot Locker,Northeast,Delaware,Wilmington,Women's Street Footwear,30,275,8250,3300,In-store
Kohl's,Northeast,Delaware,Wilmington,Women's Street Footwear,25,275,6875,2750,In-store
Walmart,Northeast,New York,New York,Men's Athletic Footwear,53,273,1447,622,Online
West Gear,West,California,San Francisco,Men's Street Footwear,56,273,1529,764,Online
West Gear,West,California,San Francisco,Men's Street Footwear,62,273,1693,779,Online
West Gear,West,California,San Francisco,Men's Athletic Footwear,58,273,1583,428,Online
Sports Direct,South,Texas,Dallas,Women's Street Footwear,46,273,1256,691,Online
Foot Locker,West,Washington,Seattle,Men's Street Footwear,44,273,1201,661,Online
Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,51,273,1392,780,Online
Walmart,South,Texas,Houston,Women's Apparel,27,272,734,404,Outlet
Walmart,South,Texas,Houston,Men's Street Footwear,31,272,843,329,Outlet
West Gear,West,California,San Francisco,Men's Street Footwear,36,272,979,382,Outlet
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,37,272,1006,292,Outlet
Kohl's,West,California,Los Angeles,Men's Street Footwear,40,272,1088,500,Outlet
Sports Direct,South,Texas,Dallas,Women's Apparel,47,272,1278,729,Outlet
Sports Direct,South,Tennessee,Knoxville,Men's Street Footwear,29,272,789,394,Outlet
Sports Direct,South,Tennessee,Knoxville,Women's Apparel,38,272,1034,641,Outlet
Walmart,Southeast,Florida,Orlando,Men's Street Footwear,50,272,1360,435,Outlet
Walmart,Southeast,Florida,Orlando,Men's Athletic Footwear,60,272,1632,441,Outlet
West Gear,Southeast,Florida,Orlando,Men's Street Footwear,30,272,816,416,Outlet
Foot Locker,Southeast,Virginia,Richmond,Men's Street Footwear,60,272,1632,604,Outlet
Foot Locker,Southeast,Virginia,Richmond,Men's Street Footwear,67,272,1822,729,Outlet
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,46,272,1251,576,Outlet
West Gear,South,Texas,Houston,Women's Street Footwear,33,271,894,376,Outlet
West Gear,West,California,San Francisco,Men's Street Footwear,40,271,1084,412,Outlet
West Gear,West,California,San Francisco,Women's Athletic Footwear,40,271,1084,325,Outlet
Sports Direct,South,Tennessee,Knoxville,Women's Apparel,31,271,840,496,Outlet
Sports Direct,South,Tennessee,Knoxville,Men's Athletic Footwear,44,271,1192,608,Outlet
West Gear,West,Idaho,Boise,Men's Athletic Footwear,40,271,1084,466,Outlet
